2.042316 4.861863 -2.382368
2.495399 2.199525 3.046873
6.541779 7.216976 -0.085589
8.351095 5.027966 -0.719288
3.883725 8.702839 3.044886
4.672372 0.619817 1.271084
1.166608 8.600083 -2.784382
6.177059 1.694681 1.163164
3.261538 6.213211 -2.946249
9.884215 3.649776 1.788775
6.171685 9.660859 -0.289696
6.771164 4.145261 0.670411
4.153002 5.993094 0.511802
9.436887 1.108761 -1.780672
9.597077 8.818787 1.314904
8.933286 7.070085 -1.331086
2.173668 9.566028 2.890876
9.169014 7.845557 1.587773
0.873992 4.369567 -2.680835
6.003648 5.408888 -0.218750
0.252626 1.382038 -2.967068
8.101167 6.845262 -1.778484
7.770605 7.332872 1.637229
7.733036 6.975321 -2.101860
6.804646 6.515014 1.933340
0.749648 8.599086 -2.409350
8.699790 7.424779 0.663514
3.485662 6.934509 -2.911435
6.088653 1.691889 -2.631033
4.124948 4.377490 -2.561497
5.755772 1.397147 2.483079
7.845026 3.819243 0.025481
2.141907 0.396601 0.980926
8.817949 1.382595 1.144270
9.141854 6.844975 -2.741343
1.957183 9.058221 -1.047179
