0.44	0.34	0.36	0.27	0.26	0.26	0.29	0.46	0.43	0.4
0.44	0.34	0.36	0.27	0.26	0.26	0.29	0.46	0.43	0.4
0.44	0.34	0.36	0.27	0.26	0.26	0.29	0.46	0.43	0.4
0.45	0.33	0.36	0.3	0.3	0.3	0.31	0.46	0.41	0.44
0.45	0.31	0.35	0.29	0.27	0.26	0.3	0.49	0.41	0.44
0.45	0.35	0.35	0.27	0.27	0.26	0.3	0.46	0.4	0.41
0.435	0.345	0.355	0.27	0.28	0.265	0.28500000000000003	0.525	0.39	0.405
0.44	0.35	0.35	0.27	0.28	0.27	0.3	0.52	0.38	0.41
0.43	0.35	0.36	0.28	0.29	0.28	0.3	0.46	0.43	0.4
0.445	0.355	0.36	0.275	0.27	0.265	0.3	0.455	0.405	0.42
0.45	0.33	0.36	0.3	0.3	0.3	0.31	0.46	0.41	0.44
0.43	0.34	0.36	0.27	0.28	0.26	0.27	0.53	0.4	0.4
0.43	0.34	0.36	0.27	0.28	0.26	0.27	0.53	0.4	0.4
0.43	0.35	0.36	0.28	0.29	0.28	0.3	0.46	0.43	0.4
0.42	0.31	0.35	0.25	0.24	0.24	0.28	0.58	0.38	0.41
0.42	0.31	0.35	0.25	0.24	0.24	0.28	0.58	0.38	0.41
0.41	0.31	0.34	0.24	0.24	0.24	0.27	0.57	0.34	0.39
0.43	0.35	0.36	0.28	0.29	0.28	0.3	0.46	0.43	0.4
0.44	0.36	0.37	0.28	0.27	0.27	0.3	0.45	0.41	0.43
0.44	0.345	0.36	0.29000000000000004	0.29	0.29000000000000004	0.305	0.46499999999999997	0.435	0.42000000000000004
0.45	0.34	0.36	0.3	0.29	0.3	0.31	0.47	0.44	0.44
0.41	0.31	0.34	0.24	0.24	0.24	0.27	0.57	0.34	0.39
0.41	0.31	0.33	0.23	0.25	0.24	0.26	0.56	0.34	0.38
0.41	0.31	0.34	0.25	0.25	0.25	0.29	0.56	0.39	0.44
0.4	0.29	0.32	0.25	0.25	0.24	0.26	0.56	0.34	0.36
0.45	0.38	0.37	0.31	0.31	0.3	0.31	0.43	0.38	0.45
0.41	0.31	0.34	0.25	0.25	0.25	0.29	0.56	0.39	0.44
0.45	0.36	0.36	0.3	0.3	0.3	0.31	0.45	0.41	0.45
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39
0.45	0.36	0.36	0.3	0.3	0.3	0.31	0.45	0.41	0.45
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39
0.43	0.35	0.38	0.3	0.3	0.3	0.31	0.47	0.42	0.39
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39
0.44	0.365	0.375	0.305	0.305	0.3	0.31	0.44999999999999996	0.4	0.42000000000000004
0.42	0.33	0.36	0.24	0.24	0.25	0.26	0.55	0.34	0.39
0.43	0.35	0.38	0.3	0.3	0.3	0.31	0.47	0.42	0.39
0.41	0.31	0.34	0.23	0.25	0.24	0.27	0.51	0.35	0.39
0.43	0.35	0.38	0.3	0.3	0.3	0.31	0.47	0.42	0.39
0.41	0.31	0.34	0.23	0.25	0.24	0.27	0.51	0.35	0.39
0.41	0.33	0.34	0.22	0.22	0.24	0.26	0.52	0.33	0.39
0.41	0.33	0.34	0.22	0.22	0.24	0.26	0.52	0.33	0.39
0.44	0.38	0.38	0.3	0.31	0.3	0.31	0.43	0.38	0.42
